667000,3,1,1400,1581,1.5,0,0,5,8,1909,0,98112,housepics/house1.jpg
667000,3,1,1400,1581,1.5,0,0,5,8,1909,0,98112,housepics/house2.jpg
385000,4,1.75,1620,4980,1,0,0,4,7,1947,0,98133,housepics/house3.jpg
719000,4,2.5,2570,7173,2,0,0,3,8,2005,0,98052,housepics/house4.jpg
605000,3,2.5,2570,9487,2,0,3,3,9,1989,0,98011,housepics/house5.jpg
565000,4,2.25,2470,7447,2,0,0,3,8,1984,0,98155,housepics/house6.jpg
439990,4,2.5,1540,1994,2,0,0,3,8,2014,0,98029,housepics/house7.jpg
2.14e+006,4,3.75,5150,453895,1,0,3,3,11,1997,0,98053,housepics/house8.jpg
1.89e+006,4,4.25,4285,9345,2,0,0,3,10,2013,0,98004,housepics/house9.jpg
221900,3,1,1180,5650,1,0,0,3,7,1955,0,98178,housepics/house10.jpg
285000,5,2.5,2270,6300,2,0,0,3,8,1995,0,98092,housepics/house11.jpg
395000,1,1,790,3000,1,0,0,3,6,1953,0,98199,housepics/house12.jpg
325000,2,2,1040,5796,1,0,2,4,6,1921,0,98155,housepics/house13.jpg
599000,3,2,2560,14680,1,0,0,3,8,1987,0,98052,housepics/house14.jpg
505000,3,2.5,1820,11012,2,0,0,3,8,1988,0,98074,housepics/house15.jpg
605000,5,1.75,3240,34510,2,0,0,4,7,1963,0,98029,housepics/house16.jpg
465000,3,2,1430,14250,1,0,0,3,7,1953,0,98033,housepics/house17.jpg
425000,3,2.5,1480,1386,3,0,0,3,8,2005,0,98029,housepics/house18.jpg
1.6125e+006,4,2.75,5470,18200,3,1,4,3,11,1992,0,98118,housepics/house19.jpg
390000,3,1,950,3621,1,0,0,4,6,1947,0,98144,housepics/house20.jpg
911100,4,3.25,3330,33826,2,0,0,5,8,1924,0,98155,housepics/house21.jpg
